product_name,product_price,rate,review,summary,sentiment
Fitness Band,582.94,5,Works perfectly and the build quality is excellent.,"Great product, highly satisfied",positive
Wireless Earbuds,155.1,4,Works perfectly and the build quality is excellent.,"Great product, highly satisfied",positive
Gaming Mouse,157.06,4,Absolutely loved this product! It works flawlessly and exceeded my expectations.,"Great product, highly satisfied",positive
4K Monitor,160.63,4,Works perfectly and the build quality is excellent.,"Great product, highly satisfied",positive
Mechanical Keyboard,290.5,5,Absolutely loved this product! It works flawlessly and exceeded my expectations.,"Great product, highly satisfied",positive
Mechanical Keyboard,247.74,5,Fantastic quality and design. Will definitely buy again.,"Great product, highly satisfied",positive
Tablet Plus,839.68,5,Works perfectly and the build quality is excellent.,"Great product, highly satisfied",positive
Smartwatch,376.8,4,Absolutely loved this product! It works flawlessly and exceeded my expectations.,"Great product, highly satisfied",positive
Fitness Band,321.39,5,Works perfectly and the build quality is excellent.,"Great product, highly satisfied",positive
Tablet Plus,306.78,4,Great value for money. Performance is top-notch and very reliable.,"Great product, highly satisfied",positive
Fitness Band,133.9,4,Fantastic quality and design. Will definitely buy again.,"Great product, highly satisfied",positive
Smartwatch,902.59,4,Fantastic quality and design. Will definitely buy again.,"Great product, highly satisfied",positive
Smartphone X,605.85,4,Works perfectly and the build quality is excellent.,"Great product, highly satisfied",positive
Smartwatch,40.4,5,Works perfectly and the build quality is excellent.,"Great product, highly satisfied",positive
Bluetooth Speaker,490.63,4,Absolutely loved this product! It works flawlessly and exceeded my expectations.,"Great product, highly satisfied",positive
Fitness Band,620.64,5,Fantastic quality and design. Will definitely buy again.,"Great product, highly satisfied",positive
Smartwatch,909.29,5,Fantastic quality and design. Will definitely buy again.,"Great product, highly satisfied",positive
Mechanical Keyboard,339.1,5,Great value for money. Performance is top-notch and very reliable.,"Great product, highly satisfied",positive
Laptop Pro,472.01,5,I am very satisfied with this purchase. Highly recommended!,"Great product, highly satisfied",positive
4K Monitor,105.82,4,Great value for money. Performance is top-notch and very reliable.,"Great product, highly satisfied",positive
Tablet Plus,374.06,5,Great value for money. Performance is top-notch and very reliable.,"Great product, highly satisfied",positive
Fitness Band,987.83,5,Absolutely loved this product! It works flawlessly and exceeded my expectations.,"Great product, highly satisfied",positive
Bluetooth Speaker,695.42,4,Absolutely loved this product! It works flawlessly and exceeded my expectations.,"Great product, highly satisfied",positive
Fitness Band,56.33,5,Works perfectly and the build quality is excellent.,"Great product, highly satisfied",positive
Wireless Earbuds,32.38,4,Great value for money. Performance is top-notch and very reliable.,"Great product, highly satisfied",positive
4K Monitor,643.35,4,Absolutely loved this product! It works flawlessly and exceeded my expectations.,"Great product, highly satisfied",positive
Bluetooth Speaker,328.87,5,Works perfectly and the build quality is excellent.,"Great product, highly satisfied",positive
4K Monitor,133.59,4,Fantastic quality and design. Will definitely buy again.,"Great product, highly satisfied",positive
Wireless Earbuds,85.14,5,I am very satisfied with this purchase. Highly recommended!,"Great product, highly satisfied",positive
Gaming Mouse,490.86,4,Fantastic quality and design. Will definitely buy again.,"Great product, highly satisfied",positive
Smartwatch,958.69,5,Works perfectly and the build quality is excellent.,"Great product, highly satisfied",positive
Bluetooth Speaker,905.4,4,Absolutely loved this product! It works flawlessly and exceeded my expectations.,"Great product, highly satisfied",positive
Tablet Plus,418.49,5,Fantastic quality and design. Will definitely buy again.,"Great product, highly satisfied",positive
Tablet Plus,316.68,5,Fantastic quality and design. Will definitely buy again.,"Great product, highly satisfied",positive
Mechanical Keyboard,699.11,5,I am very satisfied with this purchase. Highly recommended!,"Great product, highly satisfied",positive
Bluetooth Speaker,514.34,5,Works perfectly and the build quality is excellent.,"Great product, highly satisfied",positive
Laptop Pro,181.26,5,Fantastic quality and design. Will definitely buy again.,"Great product, highly satisfied",positive
4K Monitor,369.84,5,Great value for money. Performance is top-notch and very reliable.,"Great product, highly satisfied",positive
Laptop Pro,145.34,4,Fantastic quality and design. Will definitely buy again.,"Great product, highly satisfied",positive
Wireless Earbuds,578.59,4,Fantastic quality and design. Will definitely buy again.,"Great product, highly satisfied",positive
Wireless Earbuds,556.22,4,I am very satisfied with this purchase. Highly recommended!,"Great product, highly satisfied",positive
Gaming Mouse,125.58,4,Great value for money. Performance is top-notch and very reliable.,"Great product, highly satisfied",positive
Wireless Earbuds,185.65,4,Great value for money. Performance is top-notch and very reliable.,"Great product, highly satisfied",positive
Smartphone X,476.04,4,I am very satisfied with this purchase. Highly recommended!,"Great product, highly satisfied",positive
Gaming Mouse,516.29,5,I am very satisfied with this purchase. Highly recommended!,"Great product, highly satisfied",positive
Wireless Earbuds,426.37,5,Works perfectly and the build quality is excellent.,"Great product, highly satisfied",positive
4K Monitor,276.95,4,I am very satisfied with this purchase. Highly recommended!,"Great product, highly satisfied",positive
Gaming Mouse,266.66,5,Absolutely loved this product! It works flawlessly and exceeded my expectations.,"Great product, highly satisfied",positive
Smartwatch,811.65,4,I am very satisfied with this purchase. Highly recommended!,"Great product, highly satisfied",positive
Laptop Pro,857.29,5,Great value for money. Performance is top-notch and very reliable.,"Great product, highly satisfied",positive
Fitness Band,420.55,5,Absolutely loved this product! It works flawlessly and exceeded my expectations.,"Great product, highly satisfied",positive
Fitness Band,416.78,4,Works perfectly and the build quality is excellent.,"Great product, highly satisfied",positive
Tablet Plus,602.29,4,Works perfectly and the build quality is excellent.,"Great product, highly satisfied",positive
Mechanical Keyboard,494.2,5,Works perfectly and the build quality is excellent.,"Great product, highly satisfied",positive
Smartphone X,96.29,4,Absolutely loved this product! It works flawlessly and exceeded my expectations.,"Great product, highly satisfied",positive
Fitness Band,676.45,4,Works perfectly and the build quality is excellent.,"Great product, highly satisfied",positive
Fitness Band,856.29,4,I am very satisfied with this purchase. Highly recommended!,"Great product, highly satisfied",positive
Smartphone X,235.43,5,I am very satisfied with this purchase. Highly recommended!,"Great product, highly satisfied",positive
Wireless Earbuds,35.73,5,Great value for money. Performance is top-notch and very reliable.,"Great product, highly satisfied",positive
Fitness Band,637.84,5,Absolutely loved this product! It works flawlessly and exceeded my expectations.,"Great product, highly satisfied",positive
Laptop Pro,37.13,5,Absolutely loved this product! It works flawlessly and exceeded my expectations.,"Great product, highly satisfied",positive
4K Monitor,849.68,5,Fantastic quality and design. Will definitely buy again.,"Great product, highly satisfied",positive
Tablet Plus,201.46,5,Absolutely loved this product! It works flawlessly and exceeded my expectations.,"Great product, highly satisfied",positive
Fitness Band,623.53,5,Absolutely loved this product! It works flawlessly and exceeded my expectations.,"Great product, highly satisfied",positive
Tablet Plus,40.04,5,Absolutely loved this product! It works flawlessly and exceeded my expectations.,"Great product, highly satisfied",positive
Smartphone X,136.37,4,I am very satisfied with this purchase. Highly recommended!,"Great product, highly satisfied",positive
4K Monitor,768.77,5,Absolutely loved this product! It works flawlessly and exceeded my expectations.,"Great product, highly satisfied",positive
4K Monitor,448.15,4,Fantastic quality and design. Will definitely buy again.,"Great product, highly satisfied",positive
Gaming Mouse,750.4,4,I am very satisfied with this purchase. Highly recommended!,"Great product, highly satisfied",positive
Fitness Band,254.5,5,Works perfectly and the build quality is excellent.,"Great product, highly satisfied",positive
Smartwatch,847.2,5,I am very satisfied with this purchase. Highly recommended!,"Great product, highly satisfied",positive
Laptop Pro,263.52,4,Absolutely loved this product! It works flawlessly and exceeded my expectations.,"Great product, highly satisfied",positive
4K Monitor,889.98,4,Works perfectly and the build quality is excellent.,"Great product, highly satisfied",positive
Wireless Earbuds,878.03,5,Absolutely loved this product! It works flawlessly and exceeded my expectations.,"Great product, highly satisfied",positive
Tablet Plus,421.31,5,Great value for money. Performance is top-notch and very reliable.,"Great product, highly satisfied",positive
Bluetooth Speaker,574.23,5,Absolutely loved this product! It works flawlessly and exceeded my expectations.,"Great product, highly satisfied",positive
Smartphone X,303.17,4,Absolutely loved this product! It works flawlessly and exceeded my expectations.,"Great product, highly satisfied",positive
Fitness Band,399.62,5,Great value for money. Performance is top-notch and very reliable.,"Great product, highly satisfied",positive
4K Monitor,272.16,5,Works perfectly and the build quality is excellent.,"Great product, highly satisfied",positive
Gaming Mouse,95.6,5,Fantastic quality and design. Will definitely buy again.,"Great product, highly satisfied",positive
Fitness Band,383.6,4,Absolutely loved this product! It works flawlessly and exceeded my expectations.,"Great product, highly satisfied",positive
Gaming Mouse,381.73,5,Works perfectly and the build quality is excellent.,"Great product, highly satisfied",positive
Bluetooth Speaker,733.62,4,Fantastic quality and design. Will definitely buy again.,"Great product, highly satisfied",positive
Smartwatch,791.17,5,Great value for money. Performance is top-notch and very reliable.,"Great product, highly satisfied",positive
Gaming Mouse,761.76,5,Absolutely loved this product! It works flawlessly and exceeded my expectations.,"Great product, highly satisfied",positive
Mechanical Keyboard,697.42,5,Works perfectly and the build quality is excellent.,"Great product, highly satisfied",positive
Tablet Plus,91.58,4,Absolutely loved this product! It works flawlessly and exceeded my expectations.,"Great product, highly satisfied",positive
Smartwatch,839.73,5,Works perfectly and the build quality is excellent.,"Great product, highly satisfied",positive
Laptop Pro,752.72,5,Great value for money. Performance is top-notch and very reliable.,"Great product, highly satisfied",positive
Smartphone X,468.36,5,Absolutely loved this product! It works flawlessly and exceeded my expectations.,"Great product, highly satisfied",positive
Mechanical Keyboard,486.52,4,Works perfectly and the build quality is excellent.,"Great product, highly satisfied",positive
Mechanical Keyboard,482.83,5,Works perfectly and the build quality is excellent.,"Great product, highly satisfied",positive
Bluetooth Speaker,912.98,5,Works perfectly and the build quality is excellent.,"Great product, highly satisfied",positive
Laptop Pro,870.52,4,Fantastic quality and design. Will definitely buy again.,"Great product, highly satisfied",positive
Smartphone X,511.95,4,Works perfectly and the build quality is excellent.,"Great product, highly satisfied",positive
Mechanical Keyboard,459.93,5,Works perfectly and the build quality is excellent.,"Great product, highly satisfied",positive
Wireless Earbuds,906.59,5,Fantastic quality and design. Will definitely buy again.,"Great product, highly satisfied",positive
Tablet Plus,493.26,4,Works perfectly and the build quality is excellent.,"Great product, highly satisfied",positive
